what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411626229778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626244696
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411626257005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626257143
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411626260072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411626290045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626312643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626506489
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1411626547566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411626548965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411626563395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411626575075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626634540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626825090
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411626825583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411626867843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626870387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411626888677
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411626889751
